statue,statueLabel,statueType,statueTypeLabel,height,creationYear,countryLabel,materialLabel
http://www.wikidata.org/entity/Q16380022,памятник Егише Чаренцу,http://www.wikidata.org/entity/Q860861,скульптура,18.5,1985,Армения,бронза
http://www.wikidata.org/entity/Q15077321,Памятник Андрею Сахарову,http://www.wikidata.org/entity/Q2065736,культурная ценность,4.5,2001,Армения,базальт
http://www.wikidata.org/entity/Q15825603,Памятник Ленину (Запорожье),http://www.wikidata.org/entity/Q860861,скульптура,19.8,1964,Украина,гранит
http://www.wikidata.org/entity/Q17051597,Memoria Urbana,http://www.wikidata.org/entity/Q20437094,инсталляция,31,2012,Германия,светодиодная лампа
http://www.wikidata.org/entity/Q11850682,Памятник Александру II,http://www.wikidata.org/entity/Q5003624,мемориал,10.67,1894,Финляндия,гранит
http://www.wikidata.org/entity/Q15825603,Памятник Ленину (Запорожье),http://www.wikidata.org/entity/Q860861,скульптура,19.8,1964,Украина,бронза
http://www.wikidata.org/entity/Q16366530,памятник Александру Мясникову,http://www.wikidata.org/entity/Q860861,скульптура,8.6,1976,Армения,гранит
http://www.wikidata.org/entity/Q11850682,Памятник Александру II,http://www.wikidata.org/entity/Q5003624,мемориал,10.67,1894,Финляндия,бронза
http://www.wikidata.org/entity/Q16366530,памятник Александру Мясникову,http://www.wikidata.org/entity/Q860861,скульптура,8.6,1976,Армения,базальт
http://www.wikidata.org/entity/Q16370033,Памятник Аветику Исаакяну,http://www.wikidata.org/entity/Q860861,скульптура,4.5,1960,Армения,бронза
http://www.wikidata.org/entity/Q21020041,Q21020041,http://www.wikidata.org/entity/Q179700,статуя,2.9,1700,Польша,гипс
http://www.wikidata.org/entity/Q15961894,памятник Паруйру Севаку,http://www.wikidata.org/entity/Q2065736,культурная ценность,2,1978,Армения,базальт
http://www.wikidata.org/entity/Q15961894,памятник Паруйру Севаку,http://www.wikidata.org/entity/Q2065736,культурная ценность,2,1978,Армения,бронза
http://www.wikidata.org/entity/Q21130084,Конная статуя Великого курфюрста,http://www.wikidata.org/entity/Q659396,конная статуя,5.6,1700,Германия,мрамор
http://www.wikidata.org/entity/Q16400309,Vahan Teryan Monument,http://www.wikidata.org/entity/Q2065736,культурная ценность,3,2000,Армения,базальт
http://www.wikidata.org/entity/Q12046319,Q12046319,http://www.wikidata.org/entity/Q179700,статуя,570,1901,Чехия,песчаник
http://www.wikidata.org/entity/Q21130084,Конная статуя Великого курфюрста,http://www.wikidata.org/entity/Q659396,конная статуя,5.6,1700,Германия,бронза
http://www.wikidata.org/entity/Q16366540,памятник Александра Спендиаряна,http://www.wikidata.org/entity/Q860861,скульптура,8.5,1953,Армения,гранит
http://www.wikidata.org/entity/Q15825603,Памятник Ленину (Запорожье),http://www.wikidata.org/entity/Q860861,скульптура,19.8,1964,СССР,гранит
http://www.wikidata.org/entity/Q16366507,Памятник Александру Таманяну,http://www.wikidata.org/entity/Q860861,скульптура,3,1974,Армения,гранит
http://www.wikidata.org/entity/Q5035974,Капитолийская волчица,http://www.wikidata.org/entity/Q860861,скульптура,0.75,1920,Молдова,гранит
http://www.wikidata.org/entity/Q16366540,памятник Александра Спендиаряна,http://www.wikidata.org/entity/Q860861,скульптура,8.5,1953,Армения,бронза
http://www.wikidata.org/entity/Q16366507,Памятник Александру Таманяну,http://www.wikidata.org/entity/Q860861,скульптура,3,1974,Армения,базальт
http://www.wikidata.org/entity/Q15825603,Памятник Ленину (Запорожье),http://www.wikidata.org/entity/Q860861,скульптура,19.8,1964,СССР,бронза
http://www.wikidata.org/entity/Q11823918,Bust of Żeromski in Warsaw,http://www.wikidata.org/entity/Q241045,бюст,2,1987,Польша,травертин
http://www.wikidata.org/entity/Q5035974,Капитолийская волчица,http://www.wikidata.org/entity/Q860861,скульптура,0.75,1920,Молдова,бронза
