film,filmLabel,capital_cost
http://www.wikidata.org/entity/Q22970530,Как приручить дракона 3,129000000
http://www.wikidata.org/entity/Q22997984,Гадкий я 3,75000000
http://www.wikidata.org/entity/Q23013169,Лего Фильм: Бэтмен,80000000
"http://www.wikidata.org/entity/Q23013713,""Ван Гог. С любовью, Винсент"",5500000"
http://www.wikidata.org/entity/Q23647031,Бэтмен: Убийственная шутка,3500000
http://www.wikidata.org/entity/Q23999306,Эмоджи фильм,50000000
http://www.wikidata.org/entity/Q20762698,Зверопой,75000000
http://www.wikidata.org/entity/Q21157863,Анаит,900000
http://www.wikidata.org/entity/Q20005521,Хранитель Луны,17000000
http://www.wikidata.org/entity/Q20641909,Аврил и поддельный мир,10400000
http://www.wikidata.org/entity/Q20751338,Рок Дог,60000000
http://www.wikidata.org/entity/Q20724226,мультфильм Далеко на Север,6125009
http://www.wikidata.org/entity/Q20979182,Капитан Подштанник,38000000
http://www.wikidata.org/entity/Q21079862,Тачки 3,175000000
http://www.wikidata.org/entity/Q27590807,Арктическое правосудие: Команда Гром,61000000
http://www.wikidata.org/entity/Q27918412,Балерина,30000000
http://www.wikidata.org/entity/Q27842209,Большой собачий побег,10000000
http://www.wikidata.org/entity/Q25167044,Ральф против интернета,175000000
http://www.wikidata.org/entity/Q25207551,Станция «Сеул»,575000
http://www.wikidata.org/entity/Q28016399,Богатырша,2700000
http://www.wikidata.org/entity/Q28173261,Путеводная звезда,20000000
http://www.wikidata.org/entity/Q28496914,Дозор джунглей,7000000
http://www.wikidata.org/entity/Q29588607,Человек-паук: Через вселенные,90000000
http://www.wikidata.org/entity/Q28704028,Мавка: Лесная песня,187241524
http://www.wikidata.org/entity/Q30051739,Подводная эра,6000000
http://www.wikidata.org/entity/Q30080476,Бэтмен и Харли Квинн,3500000
http://www.wikidata.org/entity/Q33249525,Фиксики: Большой секрет,6000000
http://www.wikidata.org/entity/Q30110172,Сказ о Петре и Февронии,5000000
http://www.wikidata.org/entity/Q31271382,Камуфляж и шпионаж,100000000
http://www.wikidata.org/entity/Q31271384,Кот в сапогах 2: Последнее желание,90000000
http://www.wikidata.org/entity/Q28546933,Три богатыря и морской царь,4000000
http://www.wikidata.org/entity/Q28704137,Виктор_Робот,31117000
http://www.wikidata.org/entity/Q28720714,Муми-тролли и зимняя сказка,440000
http://www.wikidata.org/entity/Q28840385,Монстры на каникулах 3,65000000
http://www.wikidata.org/entity/Q28869533,Волшебный парк Джун,100000000
http://www.wikidata.org/entity/Q29348620,Дети против волшебников,50000000
http://www.wikidata.org/entity/Q29346759,Стань легендой! Бигфут Младший,20000000
http://www.wikidata.org/entity/Q68681463,Легенда о волках,10000000
http://www.wikidata.org/entity/Q67208596,Клаус,40000000
http://www.wikidata.org/entity/Q65503484,Конь Юлий и большие скачки,180000000
http://www.wikidata.org/entity/Q76448600,Человек-паук: Паутина вселенных,100000000
http://www.wikidata.org/entity/Q68595462,Q68595462,3500000
http://www.wikidata.org/entity/Q96602803,Детство бедовой Марты Джейн Каннери,7952824
http://www.wikidata.org/entity/Q64768714,Q64768714,2400000
http://www.wikidata.org/entity/Q97359775,Удача,140000000
http://www.wikidata.org/entity/Q73895818,Пиноккио,35000000
http://www.wikidata.org/entity/Q64744044,Душа,150000000
http://www.wikidata.org/entity/Q65972529,Нэчжа,20000000
http://www.wikidata.org/entity/Q97288428,Плохие парни,74500000
http://www.wikidata.org/entity/Q106953528,DC Лига Суперпитомцы,90000000
http://www.wikidata.org/entity/Q104409060,Базз Лайтер,200000000
http://www.wikidata.org/entity/Q107208805,Болесь,186.01
http://www.wikidata.org/entity/Q107210110,Властелин колец: Война рохирримов,30000000
http://www.wikidata.org/entity/Q104845027,Я краснею,175000000
http://www.wikidata.org/entity/Q111440982,Финник,350000000
http://www.wikidata.org/entity/Q97609238,Щенячий патруль в кино,26000000
http://www.wikidata.org/entity/Q108404122,Безумный Бог,124156
http://www.wikidata.org/entity/Q112131932,Полный армагеддец,3000000
http://www.wikidata.org/entity/Q108671102,Братья Супер Марио в кино,100000000
http://www.wikidata.org/entity/Q108701984,Кролецып и хомяк тьмы,20000000
http://www.wikidata.org/entity/Q107084951,Q107084951,2500000
http://www.wikidata.org/entity/Q103372692,Энканто,150000000
http://www.wikidata.org/entity/Q11867218,Йоулупукки и бубен шамана,3500000
http://www.wikidata.org/entity/Q4341553,Пиноккио,2500000
http://www.wikidata.org/entity/Q11880298,Секретная миссия Санты,5074000
http://www.wikidata.org/entity/Q13091172,Город героев,165000000
http://www.wikidata.org/entity/Q9362636,Q9362636,1500000
http://www.wikidata.org/entity/Q134571218,Q134571218,9500000
http://www.wikidata.org/entity/Q10298666,Как приручить дракона 2,145000000
http://www.wikidata.org/entity/Q275167,Би Муви: Медовый заговор,150000000
http://www.wikidata.org/entity/Q12035084,Малышка из рыбной лавки,1500000
http://www.wikidata.org/entity/Q10425783,Медвежонок Бамси и Замок Разбойников,25000000
http://www.wikidata.org/entity/Q12124677,Гамби: Фильм,2800000
http://www.wikidata.org/entity/Q5114248,Хронополис,400000
http://www.wikidata.org/entity/Q172284,Леди и Бродяга,4000000
http://www.wikidata.org/entity/Q174374,Секрет крыс,7000000
http://www.wikidata.org/entity/Q174811,Вверх,175000000
http://www.wikidata.org/entity/Q176198,Последний единорог,3500000
http://www.wikidata.org/entity/Q13619743,Миньоны,74000000
http://www.wikidata.org/entity/Q179503,Ледниковый период 3: Эра динозавров,90000000
http://www.wikidata.org/entity/Q179673,Красавица и Чудовище,25000000
http://www.wikidata.org/entity/Q4245696,Кукарача 3D (мультфильм),4500000
http://www.wikidata.org/entity/Q182153,Тачки,120000000
http://www.wikidata.org/entity/Q4499813,Дом,135000000
http://www.wikidata.org/entity/Q12330202,Q12330202,2300000
http://www.wikidata.org/entity/Q11640531,Босс-молокосос 2,82000000
http://www.wikidata.org/entity/Q174555,Мадагаскар,75000000
http://www.wikidata.org/entity/Q4942835,Бугай,2500000
http://www.wikidata.org/entity/Q14451258,Джастин и рыцари доблести,22000000
http://www.wikidata.org/entity/Q271189,Геркулес,85000000
http://www.wikidata.org/entity/Q112730403,Маленький Николя (мультфильм),8000000
http://www.wikidata.org/entity/Q116547876,Q116547876,300000000
http://www.wikidata.org/entity/Q112801489,Элементарно,200000000
http://www.wikidata.org/entity/Q119498713,Арктическое приключение Нико,7200000
http://www.wikidata.org/entity/Q119786383,Мечты робота,5000000
http://www.wikidata.org/entity/Q113138253,Q113138253,4000000
http://www.wikidata.org/entity/Q116733947,Волшебное приключение Да Винчи,10000000
http://www.wikidata.org/entity/Q116764712,Зверополис 2,150000000
http://www.wikidata.org/entity/Q113877606,Головоломка 2,200000000
http://www.wikidata.org/entity/Q113883193,Заветное желание,200000000
http://www.wikidata.org/entity/Q113634050,Q113634050,8200000
http://www.wikidata.org/entity/Q113635030,Q113635030,6000000
http://www.wikidata.org/entity/Q117188308,Руби Гильман: Приключения кракена-подростка,70000000
http://www.wikidata.org/entity/Q114242678,Муфаса: Король Лев,200000000
http://www.wikidata.org/entity/Q113879962,Элио,150000000
http://www.wikidata.org/entity/Q118985171,Q118985171,3300000
