statue,statueLabel,height,inception,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q1208757,Diana-Statue,,,Германия,,
http://www.wikidata.org/entity/Q1208905,Diana with Jumping Antilope,189,1916-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1214233,Q1214233,,,Румыния,,
http://www.wikidata.org/entity/Q1215217,Nubian Woman,,1925-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1230882,Дельфийский возничий,182,-0477-01-01T00:00:00Z,Греция,,бронза
http://www.wikidata.org/entity/Q1234370,Q1234370,,,Венгрия,,бронза
http://www.wikidata.org/entity/Q1240764,Q1240764,,,Германия,,
http://www.wikidata.org/entity/Q1241151,Pseudosphaera,,,Румыния,,камень
http://www.wikidata.org/entity/Q1241545,Q1241545,,,Венгрия,,
http://www.wikidata.org/entity/Q1241899,Antal Páger statue,,,Венгрия,,
http://www.wikidata.org/entity/Q1242380,"Statue of Saint Florian in Pápa, Hungary",,1753-01-01T00:00:00Z,Венгрия,,
http://www.wikidata.org/entity/Q1243480,"Püspökkút Memorial Column, Székesfehérvár",,,Венгрия,,
http://www.wikidata.org/entity/Q1245895,statue of Ranefer,,,Египет,,
http://www.wikidata.org/entity/Q1248701,Statue of John Henry Newman,,1895-01-01T00:00:00Z,Великобритания,,мрамор
http://www.wikidata.org/entity/Q1248701,Statue of John Henry Newman,,1895-01-01T00:00:00Z,Великобритания,,портлендский известняк
http://www.wikidata.org/entity/Q1251483,Rubicow,,,Венгрия,,
http://www.wikidata.org/entity/Q1276756,Q1276756,,1913-01-01T00:00:00Z,Германия,,
http://www.wikidata.org/entity/Q1280184,Q1280184,,,Австрия,,
http://www.wikidata.org/entity/Q1293512,Statue of György Szabó,,,Венгрия,,бронза
http://www.wikidata.org/entity/Q1296234,Q1296234,,,Венгрия,,мрамор
http://www.wikidata.org/entity/Q1296349,Statue of Saint George and the Dragon in Cluj-Napoca,,,Румыния,,
http://www.wikidata.org/entity/Q1296409,Q1296409,,,Венгрия,,
http://www.wikidata.org/entity/Q1296411,Statue of Stephen I of Hungary by Sándor Györfi,,2001-01-01T00:00:00Z,Венгрия,,
http://www.wikidata.org/entity/Q1299807,Ehra oder Kind mit Ball,,,Германия,,бронза
http://www.wikidata.org/entity/Q1301607,Eichendorff memorial,,,Польша,,бронза
http://www.wikidata.org/entity/Q1307686,Phrasikleia Kore,2.115,-0550-01-01T00:00:00Z,,,паросский мрамор
http://www.wikidata.org/entity/Q1313515,Neuer Eiserner Mann,,2004-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1314400,Q1314400,,,Венгрия,,известняк
http://www.wikidata.org/entity/Q1316386,Julius-Wolff-Brunnen,,,Германия,,
http://www.wikidata.org/entity/Q1323158,Балансировка камней,,,,,
http://www.wikidata.org/entity/Q1327016,Q1327016,,,Венгрия,,
http://www.wikidata.org/entity/Q1330344,Jan Wellem memorial,,,Германия,,бронза
http://www.wikidata.org/entity/Q1365951,Nike of Callimachus,468,-0489-01-01T00:00:00Z,Греция,,мрамор
http://www.wikidata.org/entity/Q1366744,Amenemhat III- AEIN 924,46,-1825-01-01T00:00:00Z,,,граувакка
http://www.wikidata.org/entity/Q1367606,Памятник М.И. Калинину (Калининград),,1959-01-01T00:00:00Z,Россия,,бронза
http://www.wikidata.org/entity/Q1367606,Памятник М.И. Калинину (Калининград),,1959-01-01T00:00:00Z,Россия,,гранит
http://www.wikidata.org/entity/Q1378929,Roland statue of Eutin,,,Германия,,
http://www.wikidata.org/entity/Q1380111,Ян Веллем (конный монумент),,,Германия,,
http://www.wikidata.org/entity/Q1383587,Henner und Frieder,,1902-01-01T00:00:00Z,Германия,,бронза
http://www.wikidata.org/entity/Q1388782,Statue of the priestess Aristonoe,1.62,-0300-01-01T00:00:00Z,Греция,,Пентелийский мрамор
http://www.wikidata.org/entity/Q1388782,Statue of the priestess Aristonoe,38,-0300-01-01T00:00:00Z,Греция,,Пентелийский мрамор
http://www.wikidata.org/entity/Q1396533,Actor as Papposilenus (Altes Museum),168,0200-01-01T00:00:00Z,Германия,,мрамор
http://www.wikidata.org/entity/Q3076346,Fountain of Bacchino,,1560-01-01T00:00:00Z,Италия,,
http://www.wikidata.org/entity/Q3129834,Hans Egede,,1921-01-01T00:00:00Z,Гренландия,,
http://www.wikidata.org/entity/Q3154841,Wilhelmina,3,1968-01-01T00:00:00Z,Нидерланды,,bluestone
http://www.wikidata.org/entity/Q3176192,"Joan of Arc, Liberator of France",,,Франция,,бронза
http://www.wikidata.org/entity/Q3177994,Young Slave,256,1519-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q3201665,L'Air,,1938-01-01T00:00:00Z,Франция,,свинец
